"club_name","region","code"
"Al-Hilal SFC","Riyadh",1
"Al-Ahli SFC","Jeddah/Makkah",2
"Al-Nassr FC","Riyadh",1
"Ittihad Club","Jeddah/Makkah",2
"Al-Shabab FC","Riyadh",1
"Al-Ettifaq FC","Eastern",4
"Al-Fayha FC","Riyadh",1
"Al-Taawoun FC","Qasim",3
"Al-Fateh SC","Eastern",4
"Damac FC","Asir/Najran",5
"Khaleej FC","Eastern",4
"Al-Hazem SC","Qasim",3
"Al-Wehda FC","Jeddah/Makkah",2
"Al-Okhdood Club","Asir/Najran",5
"Al-Riyadh SC","Riyadh",1
"Abha Club","Asir/Najran",5
"Al-Raed SFC","Qasim",3
"Al-Tai FC","Ha'il",6
